"","Z.sim","Estimator.type","Z.est"
"8",0.922788355598988,"cross sectional",0.882943741603817
"9",0.915908942841531,"cross sectional",0.889187621104695
"10",0.838314956240709,"cross sectional",0.864950854279166
"11",0.929341407768358,"cross sectional",0.746078535870417
"12",0.957446639723333,"cross sectional",0.922558202019313
"13",0.806659381097821,"cross sectional",0.7743157658236
"14",0.824205742272833,"cross sectional",0.821781135609729
"15",0.905340874897357,"cross sectional",0.832024842048821
"16",0.964092647874161,"cross sectional",0.865493734601577
"17",1.1273528063793,"cross sectional",0.917836811946485
"18",0.802321199339241,"cross sectional",0.900019365872973
"19",0.95931611876983,"cross sectional",0.83039219491141
"20",0.773192606497783,"cross sectional",0.90271990973843
"21",0.993748001981568,"cross sectional",0.850385518805634
"81",0.922788355598988,"survival analysis",0.905956720898975
"91",0.915908942841531,"survival analysis",0.899428036546965
"101",0.838314956240709,"survival analysis",0.825789971207488
"111",0.929341407768358,"survival analysis",0.912175683282021
"121",0.957446639723333,"survival analysis",0.938848045377922
"131",0.806659381097821,"survival analysis",0.795748270647332
"141",0.824205742272833,"survival analysis",0.812400077665866
"151",0.905340874897357,"survival analysis",0.889398753198134
"161",0.964092647874161,"survival analysis",0.945155224631065
"171",1.1273528063793,"survival analysis",1.10009200189941
"181",0.802321199339241,"survival analysis",0.791631259448561
"191",0.95931611876983,"survival analysis",0.940622214050102
"201",0.773192606497783,"survival analysis",0.763987709775814
"211",0.993748001981568,"survival analysis",0.973298680059652
"82",0.880934610011616,"cross sectional",0.929803746611718
"92",1.03555526432581,"cross sectional",0.774751886095901
"102",0.773400539889745,"cross sectional",0.88564543907954
"112",0.942177761113584,"cross sectional",0.924331502512456
"122",0.932426967752609,"cross sectional",0.866949140766718
"132",0.726361515037063,"cross sectional",0.898524701836731
"142",0.818321964787427,"cross sectional",0.888709034005719
"152",0.872970343889439,"cross sectional",0.819043395082005
"162",0.819724662992504,"cross sectional",0.823762542265868
"172",0.970824298657651,"cross sectional",0.906958725758948
"182",0.980009909441278,"cross sectional",0.886504241464748
"192",0.800158745936802,"cross sectional",0.815564385295577
"202",0.779567902570855,"cross sectional",0.931081456309325
"212",0.966396616707949,"cross sectional",0.90979534608293
"83",0.880934610011616,"survival analysis",0.884088844835072
"93",1.03555526432581,"survival analysis",1.03695099327308
"103",0.773400539889745,"survival analysis",0.777777763291527
"113",0.942177761113584,"survival analysis",0.94463547552994
"123",0.932426967752609,"survival analysis",0.934995578268188
"133",0.726361515037063,"survival analysis",0.731273714842744
"143",0.818321964787427,"survival analysis",0.822188295320468
"153",0.872970343889439,"survival analysis",0.876215156578042
"163",0.819724662992504,"survival analysis",0.823575040591914
"173",0.970824298657651,"survival analysis",0.972956215043808
"183",0.980009909441278,"survival analysis",0.982037357568579
"193",0.800158745936802,"survival analysis",0.804231647365697
"203",0.779567902570855,"survival analysis",0.783874984350462
"213",0.966396616707949,"survival analysis",0.968578889269101
"84",0.945581718229925,"cross sectional",0.880424028523545
"94",1.0452004621745,"cross sectional",0.906043944292215
"104",1.02925896551265,"cross sectional",0.959992328797818
"114",1.05338798682501,"cross sectional",0.947883996488761
"124",1.0823052802949,"cross sectional",0.974369291736498
"134",0.936369207040431,"cross sectional",0.896359079025314
"144",0.964310164667147,"cross sectional",1.0424550773409
"154",0.857281026076413,"cross sectional",0.891207072408716
"164",0.85093453527213,"cross sectional",1.01045588092666
"174",1.05876465043715,"cross sectional",1.07123331738746
"184",0.754960554387754,"cross sectional",1.105086838942
"194",0.846348785143358,"cross sectional",1.09155743323485
"204",0.917067094079974,"cross sectional",0.795070629440247
"214",1.00073696404099,"cross sectional",0.746591683557997
"85",0.945581718229925,"survival analysis",0.942339297692343
"95",1.0452004621745,"survival analysis",1.03629667194665
"105",1.02925896551265,"survival analysis",1.02126113637651
"115",1.05338798682501,"survival analysis",1.04401889657369
"125",1.0823052802949,"survival analysis",1.07129280966863
"135",0.936369207040431,"survival analysis",0.933650336886586
"145",0.964310164667147,"survival analysis",0.960003399661775
"155",0.857281026076413,"survival analysis",0.859056766202113
"165",0.85093453527213,"survival analysis",0.853070948793782
"175",1.05876465043715,"survival analysis",1.04909000242428
"185",0.754960554387754,"survival analysis",0.762551204380568
"195",0.846348785143358,"survival analysis",0.84874580852374
"205",0.917067094079974,"survival analysis",0.915445170072462
"215",1.00073696404099,"survival analysis",0.994360050690807
"86",0.749416321914575,"cross sectional",0.741229955033274
"96",0.974058914555591,"cross sectional",0.749443285564896
"106",0.934660459307121,"cross sectional",0.841394093885874
"116",0.679760390361988,"cross sectional",0.70322345285936
"126",0.783126928706868,"cross sectional",0.808412382583509
"136",0.878603985378382,"cross sectional",0.785160478217124
"146",0.710749175915145,"cross sectional",0.762532510524313
"156",0.838371406724118,"cross sectional",0.817288293075191
"166",0.722630626654853,"cross sectional",0.883089008574789
"176",0.690912701961303,"cross sectional",0.851234585480701
"186",0.826883429415939,"cross sectional",0.66059352215817
