"","Z.sim","Estimator.type","Z.est"
"8",0.986632423547727,"cross sectional",1.04124458433552
"9",0.802854236335833,"cross sectional",1.13472823760119
"10",0.725562578694972,"cross sectional",0.99274602980486
"11",1.11124733580496,"cross sectional",0.965053683760057
"12",0.822984844960474,"cross sectional",0.896776288386323
"13",0.838001693731362,"cross sectional",0.926207381793424
"14",1.02434299777374,"cross sectional",0.815632082538598
"15",0.771985820362542,"cross sectional",0.887854201558028
"81",0.986632423547727,"survival analysis",0.997251239119494
"91",0.802854236335833,"survival analysis",0.807422068624656
"101",0.725562578694972,"survival analysis",0.727585546789674
"111",1.11124733580496,"survival analysis",1.12596915599503
"121",0.822984844960474,"survival analysis",0.828215487009863
"131",0.838001693731362,"survival analysis",0.843726772592071
"141",1.02434299777374,"survival analysis",1.036203451745
"151",0.771985820362542,"survival analysis",0.775537295531627
"82",0.724644821165592,"cross sectional",0.866858628773834
"92",0.773240295135579,"cross sectional",0.839562729975009
"102",1.05271486429102,"cross sectional",0.851039375216807
"112",1.02357695937535,"cross sectional",0.786101130029058
"122",0.951023145413158,"cross sectional",0.864758801798993
"132",0.980726191088006,"cross sectional",0.934701186207684
"142",0.956766408131487,"cross sectional",0.928092839472168
"152",1.04980375110212,"cross sectional",0.873670836580881
"83",0.724644821165592,"survival analysis",0.714883636102889
"93",0.773240295135579,"survival analysis",0.764698400364598
"103",1.05271486429102,"survival analysis",1.05118515812766
"113",1.02357695937535,"survival analysis",1.02131616527967
"123",0.951023145413158,"survival analysis",0.946941931558921
"133",0.980726191088006,"survival analysis",0.977390244894874
"143",0.956766408131487,"survival analysis",0.952829296266657
"153",1.04980375110212,"survival analysis",1.0482010033207
"84",0.975920753142605,"cross sectional",0.805731797804791
"94",0.948584337035376,"cross sectional",0.75102513003146
"104",1.10255492148075,"cross sectional",0.802154348771842
"114",0.77779504275103,"cross sectional",0.942741017713817
"124",1.01342485689683,"cross sectional",0.921075987885459
"134",0.897438028409931,"cross sectional",0.972887035143758
"144",1.08193159373987,"cross sectional",1.01067218429954
"154",0.882229162866411,"cross sectional",0.954676908760795
"85",0.975920753142605,"survival analysis",0.975769669113416
"95",0.948584337035376,"survival analysis",0.949006432679708
"105",1.10255492148075,"survival analysis",1.09974861992121
"115",0.77779504275103,"survival analysis",0.781798183970425
"125",1.01342485689683,"survival analysis",1.01248740095037
"135",0.897438028409931,"survival analysis",0.898932540583364
"145",1.08193159373987,"survival analysis",1.07955771434625
"155",0.882229162866411,"survival analysis",0.884042568802387
"86",1.18070988737152,"cross sectional",1.10252557132486
"96",1.04091285234437,"cross sectional",1.16323074854218
"106",1.0432703506939,"cross sectional",1.18596287709788
"116",0.794332930081308,"cross sectional",1.06657413086164
"126",0.811877063719885,"cross sectional",1.03265322062126
"136",0.915926368767213,"cross sectional",0.964843484882926
"146",1.06066035650008,"cross sectional",0.884423722321466
"156",1.08399852808003,"cross sectional",0.860462476179731
"87",1.18070988737152,"survival analysis",1.19111327987161
"97",1.04091285234437,"survival analysis",1.04245023481746
"107",1.0432703506939,"survival analysis",1.04495724709625
"117",0.794332930081308,"survival analysis",0.780232069133719
"127",0.811877063719885,"survival analysis",0.798888862026655
"137",0.915926368767213,"survival analysis",0.909537035080545
"147",1.06066035650008,"survival analysis",1.06345013727918
"157",1.08399852808003,"survival analysis",1.08826842940102
"88",0.799108209166688,"cross sectional",0.969533057567261
"98",0.858962402697045,"cross sectional",0.912374344392036
"108",0.971581968435864,"cross sectional",0.863844440475843
"118",0.953874366644286,"cross sectional",0.872345205916807
"128",0.778497889268038,"cross sectional",0.871604726610698
"138",0.777595912858932,"cross sectional",0.850013233848865
"148",0.713853239770586,"cross sectional",0.86640994757255
"158",0.804840793049708,"cross sectional",0.826715360554085
"89",0.799108209166688,"survival analysis",0.795875093299437
"99",0.858962402697045,"survival analysis",0.854319332841183
"109",0.971581968435864,"survival analysis",0.964285978265762
"119",0.953874366644286,"survival analysis",0.94699550520489
"129",0.778497889268038,"survival analysis",0.775750279946506
"139",0.777595912858932,"survival analysis",0.774869550924769
"149",0.713853239770586,"survival analysis",0.712628430707904
"159",0.804840793049708,"survival analysis",0.801472637696764
