"","Z.sim","Estimator.type","Z.est"
"8",1.15876991547657,"cross sectional",1.24753713289906
"9",1.05261492812623,"cross sectional",1.02713124135532
"10",0.869215871917752,"cross sectional",0.980237753897451
"11",1.11923498629866,"cross sectional",1.04656400342287
"12",1.13070144430269,"cross sectional",0.948571354438798
"13",0.874366765596672,"cross sectional",1.15225980850657
"14",1.04318274269844,"cross sectional",0.893866084170467
"15",0.993631077345946,"cross sectional",1.0729542734227
"81",1.15876991547657,"survival analysis",1.1909986154602
"91",1.05261492812623,"survival analysis",1.05665650548629
"101",0.869215871917752,"survival analysis",0.824559862707198
"111",1.11923498629866,"survival analysis",1.14096605518208
"121",1.13070144430269,"survival analysis",1.1554771789704
"131",0.874366765596672,"survival analysis",0.831078462938327
"141",1.04318274269844,"survival analysis",1.04471981062473
"151",0.993631077345946,"survival analysis",0.982010790141253
"82",0.986511967894365,"cross sectional",1.02897519805598
"92",0.994551372358789,"cross sectional",1.11047322920143
"102",1.01389205882883,"cross sectional",0.841013990589596
"112",1.21401595185315,"cross sectional",0.99001471830584
"122",0.934441645144281,"cross sectional",1.01006584550238
"132",0.832960511268374,"cross sectional",0.970088119127839
"142",1.04182787550544,"cross sectional",0.923810761039506
"152",1.06530067961822,"cross sectional",1.26553510104109
"83",0.986511967894365,"survival analysis",1.00006424964172
"93",0.994551372358789,"survival analysis",1.00766537985852
"103",1.01389205882883,"survival analysis",1.02595169409878
"113",1.21401595185315,"survival analysis",1.21516568091863
"123",0.934441645144281,"survival analysis",0.950832580131161
"133",0.832960511268374,"survival analysis",0.854883767435793
"143",1.04182787550544,"survival analysis",1.05236456848659
"153",1.06530067961822,"survival analysis",1.0745577348342
"84",1.17965235678542,"cross sectional",0.895573188831999
"94",0.865330670121187,"cross sectional",0.929626541877639
"104",0.944655324428425,"cross sectional",0.815137697908997
"114",1.05868375713492,"cross sectional",0.834734548662965
"124",0.878241549353757,"cross sectional",0.874513081303107
"134",0.927560032260191,"cross sectional",0.995475219460564
"144",0.96978731031181,"cross sectional",1.0313715077394
"154",0.914931830799122,"cross sectional",1.05406984044427
"85",1.17965235678542,"survival analysis",1.15490615838555
"95",0.865330670121187,"survival analysis",0.87775826783737
"105",0.944655324428425,"survival analysis",0.94770145515934
"115",1.05868375713492,"survival analysis",1.04824411870415
"125",0.878241549353757,"survival analysis",0.889142219681111
"135",0.927560032260191,"survival analysis",0.932627967189062
"145",0.96978731031181,"survival analysis",0.969861163408511
"155",0.914931830799122,"survival analysis",0.921493261742883
"86",0.97803471818887,"cross sectional",0.808153784460889
"96",0.996038174393485,"cross sectional",0.870135760904138
"106",1.0862181295212,"cross sectional",0.862953309007405
"116",0.952325804584725,"cross sectional",0.922295154885662
"126",0.730530711379294,"cross sectional",0.857215628852484
"136",1.07533842528071,"cross sectional",0.894097172751632
"146",1.08986812091434,"cross sectional",0.925363933108767
"156",0.977254432247269,"cross sectional",0.844664435305163
"87",0.97803471818887,"survival analysis",0.960781916729141
"97",0.996038174393485,"survival analysis",0.981176300065639
"107",1.0862181295212,"survival analysis",1.08333249458963
"117",0.952325804584725,"survival analysis",0.931658762083233
"127",0.730530711379294,"survival analysis",0.680408440946213
"137",1.07533842528071,"survival analysis",1.0710079244434
"147",1.08986812091434,"survival analysis",1.08746721865597
"157",0.977254432247269,"survival analysis",0.959898005860904
"88",1.13064705197589,"cross sectional",0.9736825464135
"98",1.0998058745694,"cross sectional",1.12056966381545
"108",1.00551547183819,"cross sectional",1.05340438253456
"118",0.895356806344651,"cross sectional",1.02119348704143
"128",1.25394720880333,"cross sectional",1.07080706368072
"138",0.88267044804055,"cross sectional",0.994926174530943
"148",0.946793311865406,"cross sectional",0.966012317340263
"158",0.918296033783563,"cross sectional",0.916659738023964
"89",1.13064705197589,"survival analysis",1.12948359438094
"99",1.0998058745694,"survival analysis",1.09835346134247
"109",1.00551547183819,"survival analysis",1.00317963763965
"119",0.895356806344651,"survival analysis",0.891988879032889
"129",1.25394720880333,"survival analysis",1.25393896893139
"139",0.88267044804055,"survival analysis",0.879183660328846
"149",0.946793311865406,"survival analysis",0.943907300913818
"159",0.918296033783563,"survival analysis",0.915143027545475
"810",0.851382347368598,"cross sectional",0.872193241542029
"910",0.88796741611685,"cross sectional",0.779527574051101
"1010",0.833376301109189,"cross sectional",0.848808374706909
"1110",0.750877086371701,"cross sectional",0.975057688718907
"1210",0.813178580277999,"cross sectional",0.782465269285616
"1310",0.793695003059539,"cross sectional",0.841843470178972
"1410",0.826847012107637,"cross sectional",0.817221414057914
"1510",0.813347467164077,"cross sectional",0.73954789068747
"811",0.851382347368598,"survival analysis",0.83832251850442
"911",0.88796741611685,"survival analysis",0.869697825884247
"1011",0.833376301109189,"survival analysis",0.822880556649111
"1111",0.750877086371701,"survival analysis",0.75212933738
"1211",0.813178580277999,"survival analysis",0.805559017531303
"1311",0.793695003059539,"survival analysis",0.788849927047033
"1411",0.826847012107637,"survival analysis",0.817281046892683
"1511",0.813347467164077,"survival analysis",0.805703854705167
"812",0.831594210532195,"cross sectional",0.88313267751691
"912",1.04079260861501,"cross sectional",0.900489970391483
"1012",1.11065935131956,"cross sectional",1.01120347692028
"1112",0.966911215373946,"cross sectional",0.991257176568133
"1212",1.20710409272722,"cross sectional",0.999381694810452
"1312",0.847626601943923,"cross sectional",1.04100742294263
"1412",0.928604626500321,"cross sectional",0.894013049171893
"1512",0.945060653078207,"cross sectional",0.918908000853558
"813",0.831594210532195,"survival analysis",0.828186302722803
"913",1.04079260861501,"survival analysis",1.04156238401488
"1013",1.11065935131956,"survival analysis",1.11282436263212
"1113",0.966911215373946,"survival analysis",0.966205582458798
"1213",1.20710409272722,"survival analysis",1.21119510146851
"1313",0.847626601943923,"survival analysis",0.844538860316581
"1413",0.928604626500321,"survival analysis",0.927134012616828
"1513",0.945060653078207,"survival analysis",0.943918665353211
"814",1.00553975587637,"cross sectional",0.79510411316744
"914",1.01824059692681,"cross sectional",0.84661603772867
"1014",0.792730817638497,"cross sectional",0.826305002524805
"1114",0.959326802597248,"cross sectional",0.859723248372964
"1214",0.933096141416109,"cross sectional",0.749577867892326
"1314",1.01150773171939,"cross sectional",0.836081641088357
"1414",1.13889640531418,"cross sectional",0.936355021331911
"1514",0.769842290236392,"cross sectional",1.11734983260185
"815",1.00553975587637,"survival analysis",1.01625374955109
"915",1.01824059692681,"survival analysis",1.03082203615254
"1015",0.792730817638497,"survival analysis",0.772154827968721
"1115",0.959326802597248,"survival analysis",0.963245956965039
"1215",0.933096141416109,"survival analysis",0.933158517218728
"1315",1.01150773171939,"survival analysis",1.02309921609668
"1415",1.13889640531418,"survival analysis",1.16921825650812
"1515",0.769842290236392,"survival analysis",0.745900926691243
"816",0.831054396963828,"cross sectional",0.829176355013387
"916",0.937224785543306,"cross sectional",0.91707992361956
"1016",0.906829101508472,"cross sectional",0.969772729532736
"1116",1.11155860221266,"cross sectional",0.874109051396025
"1216",0.794027283670104,"cross sectional",0.947132909035516
"1316",0.805718183410751,"cross sectional",0.905894208213744
"1416",0.850474591315108,"cross sectional",0.91881768868722
"1516",1.1469427235939,"cross sectional",0.817245940763198
"817",0.831054396963828,"survival analysis",0.829919979264198
"917",0.937224785543306,"survival analysis",0.946174236017505
"1017",0.906829101508472,"survival analysis",0.912891625835357
"1117",1.11155860221266,"survival analysis",1.13706595785284
"1217",0.794027283670104,"survival analysis",0.789376098872727
"1317",0.805718183410751,"survival analysis",0.802177378761695
"1417",0.850474591315108,"survival analysis",0.851184667945476
"1517",1.1469427235939,"survival analysis",1.17581079798278
"818",1.1283115272744,"cross sectional",0.863334801392497
"918",1.15728356154178,"cross sectional",0.891263617453854
"1018",0.94258130694873,"cross sectional",1.00456297893016
"1118",1.05601577776547,"cross sectional",0.912398756025537
"1218",1.19476220593211,"cross sectional",1.17231910078846
"1318",0.922434526125335,"cross sectional",1.0284188279382
"1418",0.968166538100375,"cross sectional",1.13363711809844
"1518",1.12738860485529,"cross sectional",1.12954603797919
"819",1.1283115272744,"survival analysis",1.1296305794359
"919",1.15728356154178,"survival analysis",1.16114680583088
"1019",0.94258130694873,"survival analysis",0.927590376868428
"1119",1.05601577776547,"survival analysis",1.05098614639781
"1219",1.19476220593211,"survival analysis",1.20191665411566
"1319",0.922434526125335,"survival analysis",0.905674397489823
"1419",0.968166538100375,"survival analysis",0.955422386519575
"1519",1.12738860485529,"survival analysis",1.12862661017239
"820",0.854574720445651,"cross sectional",1.07900279392557
"920",0.972338635327872,"cross sectional",1.24266999150216
"1020",0.951150963369501,"cross sectional",1.10455911705064
"1120",1.1615041765679,"cross sectional",1.30439633167965
"1220",1.24812839000008,"cross sectional",1.00945515669161
"1320",1.14690957611147,"cross sectional",1.08795263790997
"1420",1.08003716807883,"cross sectional",1.03509719794137
"1520",0.828913011472452,"cross sectional",1.04584350180749
"821",0.854574720445651,"survival analysis",0.855724038208578
"921",0.972338635327872,"survival analysis",0.975471828414607
"1021",0.951150963369501,"survival analysis",0.953927224541997
"1121",1.1615041765679,"survival analysis",1.16782409157838
"1221",1.24812839000008,"survival analysis",1.25590759446815
"1321",1.14690957611147,"survival analysis",1.15298362745704
"1421",1.08003716807883,"survival analysis",1.08498467297533
"1521",0.828913011472452,"survival analysis",0.829630026766074
"822",0.658827213149099,"cross sectional",0.812882266203521
"922",0.916004414724572,"cross sectional",0.747730371595089
"1022",0.766277744532966,"cross sectional",0.727337180280911
"1122",0.773688799233788,"cross sectional",0.815937604638365
"1222",0.874360815888885,"cross sectional",0.836610896194681
"1322",0.753238482949131,"cross sectional",0.865232489688371
"1422",0.878072863428797,"cross sectional",0.933708296456528
"1522",0.651974094635319,"cross sectional",0.92700407267557
"823",0.658827213149099,"survival analysis",0.647313112659526
"923",0.916004414724572,"survival analysis",0.917230289019066
"1023",0.766277744532966,"survival analysis",0.760086499459732
"1123",0.773688799233788,"survival analysis",0.767864680987634
"1223",0.874360815888885,"survival analysis",0.873523760826366
"1323",0.753238482949131,"survival analysis",0.746401302455638
"1423",0.878072863428797,"survival analysis",0.877419694775205
"1523",0.651974094635319,"survival analysis",0.640120506210879
"824",0.979923915394283,"cross sectional",1.14956428832675
"924",0.781457243547445,"cross sectional",1.02933761818756
"1024",0.912110763273335,"cross sectional",1.1464412807547
"1124",1.055665766472,"cross sectional",0.903496762690022
"1224",1.0361240194639,"cross sectional",0.946871775837728
"1324",0.77937372393811,"cross sectional",0.926088817818739
"1424",0.726461062862235,"cross sectional",0.857175420861024
"1524",0.851899737184979,"cross sectional",0.868679687876823
"825",0.979923915394283,"survival analysis",0.971828414217113
"925",0.781457243547445,"survival analysis",0.757618245521479
"1025",0.912110763273335,"survival analysis",0.898635940032725
"1125",1.055665766472,"survival analysis",1.05357853652076
"1225",1.0361240194639,"survival analysis",1.03248662781761
"1325",0.77937372393811,"survival analysis",0.755369449374282
"1425",0.726461062862235,"survival analysis",0.698259457304958
"1525",0.851899737184979,"survival analysis",0.833648635435421
"826",0.811073082389964,"cross sectional",0.826665736866162
"926",0.739311677768364,"cross sectional",0.808027816599245
"1026",0.858591878924754,"cross sectional",0.778057950237813
"1126",0.793677502091666,"cross sectional",0.688589292465837
"1226",0.965113474587922,"cross sectional",0.684073417070842
"1326",0.997059317183377,"cross sectional",0.736303661013418
"1426",0.797341814559247,"cross sectional",0.90781184639267
"1526",0.972522758863108,"cross sectional",0.908175789337226
"827",0.811073082389964,"survival analysis",0.78913894696832
"927",0.739311677768364,"survival analysis",0.710865393736753
"1027",0.858591878924754,"survival analysis",0.840969942608369
"1127",0.793677502091666,"survival analysis",0.770164765963188
"1227",0.965113474587922,"survival analysis",0.957158077893878
"1327",0.997059317183377,"survival analysis",0.992002917179117
"1427",0.797341814559247,"survival analysis",0.774161604632953
"1527",0.972522758863108,"survival analysis",0.965239734185023
"828",1.10685165223689,"cross sectional",1.13909162228729
"928",0.819563440119756,"cross sectional",1.04934564952979
"1028",1.01757979510237,"cross sectional",0.971410153898358
"1128",0.866478585679309,"cross sectional",1.00615941136392
"1228",1.13239836040312,"cross sectional",0.915989786367923
"1328",1.00018728816773,"cross sectional",0.833839225426968
"1428",1.0009951007453,"cross sectional",0.920734839428794
"1528",1.05751754840422,"cross sectional",1.03644507277827
"829",1.10685165223689,"survival analysis",1.1138688965672
"929",0.819563440119756,"survival analysis",0.791471660723546
"1029",1.01757979510237,"survival analysis",1.01368727140861
"1129",0.866478585679309,"survival analysis",0.84412022968549
"1229",1.13239836040312,"survival analysis",1.14253762626203
