"","max.age","nb.of.cohort","n.sample.per.year","random.seed","sampling.type","Optimization.status","Nat.Mort.sim","Nat.Mort.est","Nat.Mort.error","Catchability.sim","Catchability.est","Catchability.error","Logistic.par.alpha.sim","Logistic.par.alpha.est","Logistic.par.alpha.error","Logistic.par.beta.sim","Logistic.par.beta.est","Logistic.par.beta.error"
"2",8,20,125,520892.627479638,"Strategy 1","successful",0.148331802827306,0.104378646057406,0.197205639853583,0.000958747089328244,0.00116591481029397,0.000233144736071197,8.35433151572943,8.06255212462691,0.594066374041087,1.75020935665816,1.63364987387328,0.151616237812454
"3",8,20,125,520892.627479638,"Strategy 2","failed",0.148331802827306,0.01,0.176534014280816,0.000958747089328244,0.0015,0.000319415687519739,8.35433151572943,7.79451800379556,0.508642327326446,1.75020935665816,1.49144978928238,0.130261609945882
"4",8,20,125,520892.627479638,"Strategy 2 - sample weighted by total catch","successful",0.148331802827306,0.0398495361575647,0.184579988560813,0.000958747089328244,0.00131446521398756,0.000310901300076574,8.35433151572943,7.71289638253408,0.529386906846176,1.75020935665816,1.50687684113103,0.144907641613465
"5",12,20,125,50845.7991737705,"Strategy 1","successful",0.715878425049596,0.77557415598633,0.352117193384989,0.000619216690282337,0.000366329641676578,0.000156980921913232,8.57394406758249,8.58181286166909,1.19991039541742,1.81108694011346,1.95488400416876,0.28468715944078
"6",12,20,125,50845.7991737705,"Strategy 2","failed",0.715878425049596,0.01,0.279229410706948,0.000619216690282337,0.0015,0.000494455891880125,8.57394406758249,6.62273457922403,0.735839890039021,1.81108694011346,1.2303593163112,0.192570135102046
"7",12,20,125,50845.7991737705,"Strategy 2 - sample weighted by total catch","successful",0.715878425049596,0.8807398946147,0.339952466940062,0.000619216690282337,0.000640646661991636,0.000244514034238259,8.57394406758249,9.23069495913066,1.20724833685232,1.81108694011346,1.91360587506658,0.291814955789922
"8",16,20,125,76360.2654930251,"Strategy 1","successful",0.502282740478404,0.610587671208332,0.349608094992066,0.000595941269397736,0.000619041424770397,0.00016987959086521,11.4006845233962,12.958475832462,1.33254296523143,2.37091516656801,2.65786909408609,0.283147652863306
"9",16,20,125,76360.2654930251,"Strategy 2","successful",0.502282740478404,0.636974794222803,0.340565337898735,0.000595941269397736,0.000569702321232512,0.00015532884393086,11.4006845233962,13.6402431763368,1.35511827904526,2.37091516656801,2.87768952061164,0.296694158543044
"10",16,20,125,76360.2654930251,"Strategy 2 - sample weighted by total catch","successful",0.502282740478404,0.347644228624988,0.313166940857886,0.000595941269397736,0.000590887965164443,0.000147844883186462,11.4006845233962,11.8987042953423,1.23317043902925,2.37091516656801,2.55563673824952,0.283923030011969
"11",8,30,125,406119.146780435,"Strategy 1","successful",0.115861437399872,0.20791807385184,0.194516594401246,0.000862718211999163,0.000822912078292481,0.000101632005070425,8.19617201760411,8.34694578829576,0.383866080315821,2.93348545162007,2.98002621381176,0.160596075017733
"12",8,30,125,406119.146780435,"Strategy 2","successful",0.115861437399872,0.339561288488216,0.177776553665579,0.000862718211999163,0.000808069430020012,0.000106506235325807,8.19617201760411,8.2515125700226,0.36657908913619,2.93348545162007,2.89439221611628,0.15896010236945
"13",8,30,125,406119.146780435,"Strategy 2 - sample weighted by total catch","successful",0.115861437399872,0.0581226825378561,0.196595321752083,0.000862718211999163,0.00091726297206053,0.000114410309983691,8.19617201760411,8.1914483930007,0.383027319504555,2.93348545162007,2.89853374099757,0.166072228103688
"14",12,30,125,273434.159713714,"Strategy 1","successful",0.183432281576097,0.29880244797721,0.152583176477615,0.00089446340596769,0.000784650764501642,8.98368230403527e-05,10.0281610153615,10.0881453577371,0.470822205330848,2.37017746921629,2.38989990503871,0.118431448206196
"15",12,30,125,273434.159713714,"Strategy 2","successful",0.183432281576097,0.139709299984387,0.151791419714312,0.00089446340596769,0.000896825629558058,9.46102017711058e-05,10.0281610153615,9.92911372084602,0.466523978676621,2.37017746921629,2.32718651119095,0.117830976768867
"16",12,30,125,273434.159713714,"Strategy 2 - sample weighted by total catch","successful",0.183432281576097,0.317293616195217,0.151560959037987,0.00089446340596769,0.000739584436758526,8.32996138776766e-05,10.0281610153615,10.3299917935463,0.472331801000401,2.37017746921629,2.46390087316654,0.118095273477233
"17",16,30,125,822568.189134958,"Strategy 1","successful",0.528174838167615,0.516104163622168,0.150382589148132,0.00092920235209167,0.000860686795880842,0.00030092574795447,9.14042491093278,8.93318357378529,0.75227809344792,1.11092459224164,1.09295442185226,0.131172852485556
"18",16,30,125,822568.189134958,"Strategy 2","successful",0.528174838167615,0.58950362447418,0.158042594317585,0.00092920235209167,0.00140352596798095,0.000624720137003481,9.14042491093278,10.0213588549471,0.784675285897771,1.11092459224164,1.14603378890721,0.139692367476491
"19",16,30,125,822568.189134958,"Strategy 2 - sample weighted by total catch","successful",0.528174838167615,0.574764127778103,0.165239527318515,0.00092920235209167,0.000931916701254242,0.000336933224075921,9.14042491093278,9.3688170381876,0.852106953611744,1.11092459224164,1.13013097227485,0.144569283585146
"20",8,40,125,279221.425467055,"Strategy 1","failed",0.68747163603548,0.545240220759778,0.132749005608669,0.000835343327978626,0.00149999822660988,0.00166907955437331,9.58271377440542,9.13106999895734,0.86813730089796,1.20439634332433,1.06492140699032,0.123982855040839
"21",8,40,125,279221.425467055,"Strategy 2","failed",0.68747163603548,0.696961129463062,0.111381855468838,0.000835343327978626,0.00149999815886035,0.000998171262412935,9.58271377440542,10.0998948660572,0.772269337399733,1.20439634332433,1.20988563678471,0.100261815192598
